Name	NOC	City	Year	Sport	Event	Medal
Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-)	RUS	Vancouver	2010	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Gold
Trine Qvist	DEN	Nagano	1998	Curling	Curling Women's Curling	Silver
Edi Rada	AUT	Sankt Moritz	1948	Figure Skating	Figure Skating Men's Singles	Bronze
Evgeniya Nikolova Radanova	BUL	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Women's 500 metres	Silver
Evgeniya Nikolova Radanova	BUL	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Women's 1,500 metres	Bronze
Evgeniya Nikolova Radanova	BUL	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Women's 500 metres	Silver
Eric Radford	CAN	Sochi	2014	Figure Skating	Figure Skating Mixed Team	Silver
Brian Christopher Rafalski	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Brian Christopher Rafalski	USA	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Hansjrg Raffl	ITA	Albertville	1992	Luge	Luge Mixed (Men)'s Doubles	Bronze
Hansjrg Raffl	ITA	Lillehammer	1994	Luge	Luge Mixed (Men)'s Doubles	Silver
Aleksandr Pavlovich Ragulin	URS	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Aleksandr Pavlovich Ragulin	URS	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Aleksandr Pavlovich Ragulin	URS	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Benjamin Raich	AUT	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Men's Slalom	Bronze
Benjamin Raich	AUT	Salt Lake City	2002	Alpine Skiing	Alpine Skiing Men's Combined	Bronze
Benjamin Raich	AUT	Torino	2006	Alpine Skiing	Alpine Skiing Men's Giant Slalom	Gold
Benjamin Raich	AUT	Torino	2006	Alpine Skiing	Alpine Skiing Men's Slalom	Gold
Ville Antti Rikknen	FIN	Nagano	1998	Biathlon	Biathlon Men's 10 kilometres Sprint	Bronze
Annina Rajahuhta	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Rolf Ingemar Rmgrd	SWE	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Silver
Rolf Ingemar Rmgrd	SWE	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Tony mile Frdric Ramoin	FRA	Vancouver	2010	Snowboarding	Snowboarding Men's Boardercross	Bronze
William Beattie Ramsay	CAN	Chamonix	1924	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Michael Allen ""Mike"" Ramsey	USA	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Bent nund Ramsfjell	NOR	Salt Lake City	2002	Curling	Curling Men's Curling	Gold
Eigil Ramsfjell	NOR	Nagano	1998	Curling	Curling Men's Curling	Bronze
Marco Ramstein	SUI	Salt Lake City	2002	Curling	Curling Men's Curling	Bronze
Janice Rankin (Watt-)	GBR	Salt Lake City	2002	Curling	Curling Women's Curling	Gold
Karoliina Stina Margaretha Rantamki	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Karoliina Stina Margaretha Rantamki	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Siiri Johanna Rantanen (Lintunen-)	FIN	Oslo	1952	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Bronze
Siiri Johanna Rantanen (Lintunen-)	FIN	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Gold
Siiri Johanna Rantanen (Lintunen-)	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Bronze
Jari Kalevi Rsnen	FIN	Albertville	1992	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Jari Kalevi Rsnen	FIN	Lillehammer	1994	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Evelina Raselli	SUI	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Tuukka Mikael Rask	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ji Raka	TCH	Grenoble	1968	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Ji Raka	TCH	Grenoble	1968	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Silver
Daniel Paul ""Dan"" Ratushny	CAN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Noora Helena Rty	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Giuliano Razzoli	ITA	Vancouver	2010	Alpine Skiing	Alpine Skiing Men's Slalom	Gold
Ross Rebagliati	CAN	Nagano	1998	Snowboarding	Snowboarding Men's Giant Slalom	Gold
Viktoria Rebensburg	GER	Vancouver	2010	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Gold
Viktoria Rebensburg	GER	Sochi	2014	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Bronze
Helmut Recknagel	GER	Squaw Valley	1960	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Lesley Joanne Reddon	CAN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Yevgeny Leonidovich Redkin	EUN	Albertville	1992	Biathlon	Biathlon Men's 20 kilometres	Gold
Krisztina Regczy	HUN	Lake Placid	1980	Figure Skating	Figure Skating Mixed Ice Dancing	Silver
Christian Reich	SUI	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Two	Silver
Robert Reichel	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Rosa ""Ossi"" Reichert	GER	Oslo	1952	Alpine Skiing	Alpine Skiing Women's Slalom	Silver
Rosa ""Ossi"" Reichert	GER	Cortina d'Ampezzo	1956	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Gold
Tiia-Riitta Johanna Reima	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Edy Reinalter	SUI	Sankt Moritz	1948	Alpine Skiing	Alpine Skiing Men's Slalom	Gold
Franz Reindl	FRG	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Ernst Reiter	FRG	Sarajevo	1984	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Ernst Reiter	FRG	Calgary	1988	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Mario Reiter	AUT	Nagano	1998	Alpine Skiing	Alpine Skiing Men's Combined	Gold
Nina Reithmayer	AUT	Vancouver	2010	Luge	Luge Women's Singles	Silver
Shannon Colleen Rempel	CAN	Torino	2006	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Silver
Ren Hui	CHN	Torino	2006	Speed Skating	Speed Skating Women's 500 metres	Bronze
Albert Romo ""Ab"" Renaud	CAN	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Sara Renner	CAN	Torino	2006	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Silver
Heidi Maria Renoth (-Kraja)	GER	Nagano	1998	Snowboarding	Snowboarding Women's Giant Slalom	Silver
Sami Matti Repo	FIN	Nagano	1998	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Alexander Resch	GER	Salt Lake City	2002	Luge	Luge Mixed (Men)'s Doubles	Gold
Alexander Resch	GER	Vancouver	2010	Luge	Luge Mixed (Men)'s Doubles	Bronze
Helen Resor	USA	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Martin Rettl	AUT	Salt Lake City	2002	Skeleton	Skeleton Men's Skeleton	Silver
Fabienne Reuteler	SUI	Salt Lake City	2002	Snowboarding	Snowboarding Women's Halfpipe	Bronze
Katherine Reutter	USA	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Women's 1,000 metres	Silver
Katherine Reutter	USA	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Bronze
Guy John Revell	CAN	Innsbruck	1964	Figure Skating	Figure Skating Mixed Pairs	Silver
Kevin Reynolds	CAN	Sochi	2014	Figure Skating	Figure Skating Mixed Team	Silver
Anfisa Anatolyevna Reztsova (Romanova-)	URS	Calgary	1988	Cross Country Skiing	Cross Country Skiing Women's 20 kilometres	Silver
Anfisa Anatolyevna Reztsova (Romanova-)	URS	Calgary	1988	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Anfisa Anatolyevna Reztsova (Romanova-)	EUN	Albertville	1992	Biathlon	Biathlon Women's 7.5 kilometres Sprint	Gold
Anfisa Anatolyevna Reztsova (Romanova-)	EUN	Albertville	1992	Biathlon	Biathlon Women's 3 x 7.5 kilometres Relay	Bronze
Anfisa Anatolyevna Reztsova (Romanova-)	RUS	Lillehammer	1994	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Gold
Manon Ann Rhaume (-St. Cyr)	CAN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Williard Wadsworth Rice	USA	Chamonix	1924	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Michael ""Mike"" Richards	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Alexander Whitmore Colquhoun Richardson	GBR	Chamonix	1924	Bobsleigh	Bobsleigh Men's Four/Five	Silver
Jan Olof Daniel Richardsson	SWE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Jan Olof Daniel Richardsson	SWE	Sochi	2014	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Bronze
Jan Olof Daniel Richardsson	SWE	Sochi	2014	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Nils Olov Richard Richardsson	SWE	Salt Lake City	2002	Snowboarding	Snowboarding Men's Parallel Giant Slalom	Silver
Detlef Richter	GDR	Lake Placid	1980	Bobsleigh	Bobsleigh Men's Four	Bronze
Michael Thomas ""Mike"" Richter	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Pavel Richter	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Malle Danica Ricker	CAN	Vancouver	2010	Snowboarding	Snowboarding Women's Boardercross	Gold
Rolf Lennart Ridderwall	SWE	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Michael ""Mike"" Riddle	CAN	Sochi	2014	Freestyle Skiing	Freestyle Skiing Men's Halfpipe	Silver
Fabian Riele	GER	Sochi	2014	Nordic Combined	Nordic Combined Men's Large Hill / 10 km, Individual	Bronze
Fabian Riele	GER	Sochi	2014	Nordic Combined	Nordic Combined Men's Team	Silver
Donald Edmond ""Don"" Rigazio	USA	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Benito Rigoni	ITA	Innsbruck	1964	Bobsleigh	Bobsleigh Men's Four	Bronze
Hilkka Maria Riihivuori-Kuntola	FIN	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Silver
Hilkka Maria Riihivuori-Kuntola	FIN	Innsbruck	1976	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Hilkka Maria Riihivuori-Kuntola	FIN	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Silver
Hilkka Maria Riihivuori-Kuntola	FIN	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Silver
Katja Hannele Riipi	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Edward Wiliam ""Ed"" Rimkus	USA	Sankt Moritz	1948	Bobsleigh	Bobsleigh Men's Four	Gold
Hans Rinn	GDR	Innsbruck	1976	Luge	Luge Men's Singles	Bronze
Hans Rinn	GDR	Innsbruck	1976	Luge	Luge Mixed (Men)'s Doubles	Gold
Hans Rinn	GDR	Lake Placid	1980	Luge	Luge Mixed (Men)'s Doubles	Gold
Kimmo Taneli Rintanen	FIN	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Kari Antero Ristanen	FIN	Sarajevo	1984	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Robert Rintje Ritsma	NED	Lillehammer	1994	Speed Skating	Speed Skating Men's 1,500 metres	Silver
Robert Rintje Ritsma	NED	Lillehammer	1994	Speed Skating	Speed Skating Men's 5,000 metres	Bronze
Robert Rintje Ritsma	NED	Nagano	1998	Speed Skating	Speed Skating Men's 1,500 metres	Bronze
Robert Rintje Ritsma	NED	Nagano	1998	Speed Skating	Speed Skating Men's 5,000 metres	Silver
Robert Rintje Ritsma	NED	Nagano	1998	Speed Skating	Speed Skating Men's 10,000 metres	Bronze
Robert Rintje Ritsma	NED	Torino	2006	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Bronze
Romeo Norman Rivers	CAN	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Kalyna Roberge	CAN	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Silver
Kalyna Roberge	CAN	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Women's 3,000 metres Relay	Silver
Julien Robert	FRA	Salt Lake City	2002	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Julien Robert	FRA	Torino	2006	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Bronze
Max Robert	FRA	Nagano	1998	Bobsleigh	Bobsleigh Men's Four	Bronze
Gordon ""Gordie"" Robertson	CAN	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Michael ""Mike"" Robertson	CAN	Vancouver	2010	Snowboarding	Snowboarding Men's Boardercross	Silver
Ronald Frederick ""Ronnie"" Robertson	USA	Cortina d'Ampezzo	1956	Figure Skating	Figure Skating Men's Singles	Silver
Laurence Rochat	SUI	Salt Lake City	2002	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Bronze
Joannie Rochette	CAN	Vancouver	2010	Figure Skating	Figure Skating Women's Singles	Bronze
Vasily Vasilyevich Rochev	RUS	Torino	2006	Cross Country Skiing	Cross Country Skiing Men's Team Sprint	Bronze
Vasily Pavlovich Rochev	URS	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Silver
Vasily Pavlovich Rochev	URS	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Nina Petrovna Rocheva (Selyunina-)	URS	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Silver
Richard Peter ""Dick"" Rodenhiser	USA	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Richard Peter ""Dick"" Rodenhiser	USA	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Nicola Rodigari	ITA	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Alexander Rdiger	GER	Vancouver	2010	Bobsleigh	Bobsleigh Men's Four	Silver
Irina Konstantinovna Rodnina (-Zaytseva, -Minkovskaya)	URS	Sapporo	1972	Figure Skating	Figure Skating Mixed Pairs	Gold
Irina Konstantinovna Rodnina (-Zaytseva, -Minkovskaya)	URS	Innsbruck	1976	Figure Skating	Figure Skating Mixed Pairs	Gold
Irina Konstantinovna Rodnina (-Zaytseva, -Minkovskaya)	URS	Lake Placid	1980	Figure Skating	Figure Skating Mixed Pairs	Gold
Jennifer Jill Rodriguez	USA	Salt Lake City	2002	Speed Skating	Speed Skating Women's 1,000 metres	Bronze
Jennifer Jill Rodriguez	USA	Salt Lake City	2002	Speed Skating	Speed Skating Women's 1,500 metres	Bronze
Jeremy Shaffer Roenick	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Frank-Peter Roetsch	GDR	Sarajevo	1984	Biathlon	Biathlon Men's 20 kilometres	Silver
Frank-Peter Roetsch	GDR	Calgary	1988	Biathlon	Biathlon Men's 10 kilometres Sprint	Gold
Frank-Peter Roetsch	GDR	Calgary	1988	Biathlon	Biathlon Men's 20 kilometres	Gold
Diann Roffe-Steinrotter	USA	Albertville	1992	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Silver
Diann Roffe-Steinrotter	USA	Lillehammer	1994	Alpine Skiing	Alpine Skiing Women's Super G	Gold
Shauna L. Rohbock	USA	Torino	2006	Bobsleigh	Bobsleigh Women's Two	Silver
Leif Johan Rohlin	SWE	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Marcel Rohner	SUI	Nagano	1998	Bobsleigh	Bobsleigh Men's Four	Silver
Shawn Joseph Rojeski	USA	Torino	2006	Curling	Curling Men's Curling	Bronze
Barbara Ann Roles (-Pursley, -Williams)	USA	Squaw Valley	1960	Figure Skating	Figure Skating Women's Singles	Bronze
Anne Marjut Astrid Rolig-Lukkarinen	FIN	Albertville	1992	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Gold
Anne Marjut Astrid Rolig-Lukkarinen	FIN	Albertville	1992	Cross Country Skiing	Cross Country Skiing Women's 15 kilometres	Silver
Kevin Rolland	FRA	Sochi	2014	Freestyle Skiing	Freestyle Skiing Men's Halfpipe	Bronze
Brian Lee Rolston	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Dagmar Rom (-Pays)	AUT	Oslo	1952	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Silver
Yana Sergeyevna Romanova	RUS	Sochi	2014	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Silver
Olga Vladimirovna Romasko	RUS	Nagano	1998	Biathlon	Biathlon Women's 4 x 7.5 kilometres Relay	Silver
Erich Rmer	GER	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Igor Anatolyevich Romishevsky	URS	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Igor Anatolyevich Romishevsky	URS	Sapporo	1972	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Gianni Petrus Cornelis Romme	NED	Nagano	1998	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Gianni Petrus Cornelis Romme	NED	Nagano	1998	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Gianni Petrus Cornelis Romme	NED	Salt Lake City	2002	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Robert Edward ""Bob"" Rompre	USA	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Bjrn Einar Romren	NOR	Torino	2006	Ski Jumping	Ski Jumping Men's Large Hill, Team	Bronze
Mikko Tapani Ronkainen	FIN	Torino	2006	Freestyle Skiing	Freestyle Skiing Men's Moguls	Silver
Bernt Assar Rnnlund	SWE	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Silver
Bernt Assar Rnnlund	SWE	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Bernt Assar Rnnlund	SWE	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Maria Elisabeth Rooth	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Maria Elisabeth Rooth	SWE	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Donald Stephen ""Don"" Rope	CAN	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Donald Stephen ""Don"" Rope	CAN	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Mauri Uolevi Rppnen	FIN	Sapporo	1972	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Eberhard Rsch	GDR	Lake Placid	1980	Biathlon	Biathlon Men's 20 kilometres	Bronze
Eberhard Rsch	GDR	Lake Placid	1980	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Michael Rsch	GER	Torino	2006	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Petr Rosol	TCH	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Elbridge Baker Ross, Jr.	USA	Garmisch-Partenkirchen	1936	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Marlies Rostock (-Dotzauer, -Fraas)	GDR	Lake Placid	1980	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Pavel Aleksandrovich Rostovtsev	RUS	Torino	2006	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Christa Rothenburger-Luding	GDR	Sarajevo	1984	Speed Skating	Speed Skating Women's 500 metres	Gold
Christa Rothenburger-Luding	GDR	Calgary	1988	Speed Skating	Speed Skating Women's 500 metres	Silver
Christa Rothenburger-Luding	GDR	Calgary	1988	Speed Skating	Speed Skating Women's 1,000 metres	Gold
Christa Rothenburger-Luding	GER	Albertville	1992	Speed Skating	Speed Skating Women's 500 metres	Bronze
Nadia Rthlisberger (Raspe-)	SUI	Salt Lake City	2002	Curling	Curling Women's Curling	Silver
Emlia Rotter (-Szmolr)	HUN	Lake Placid	1932	Figure Skating	Figure Skating Mixed Pairs	Bronze
Emlia Rotter (-Szmolr)	HUN	Garmisch-Partenkirchen	1936	Figure Skating	Figure Skating Mixed Pairs	Bronze
Lauriane Rougeau	CAN	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Joseph Jean-Paul Robert ""Bobby"" Rousseau	CAN	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Ludovic Roux	FRA	Nagano	1998	Nordic Combined	Nordic Combined Men's Team	Bronze
Paul Edward Rowe	USA	Garmisch-Partenkirchen	1936	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Jean-Yves Roy	CAN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Vclav Rozik	TCH	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Frode Rnning	NOR	Lake Placid	1980	Speed Skating	Speed Skating Men's 1,000 metres	Bronze
Mrti Rubenis	LAT	Torino	2006	Luge	Luge Men's Singles	Bronze
Mrti Rubenis	LAT	Sochi	2014	Luge	Luge Mixed Team Relay	Bronze
Karine Martine Ruby	FRA	Nagano	1998	Snowboarding	Snowboarding Women's Giant Slalom	Gold
Karine Martine Ruby	FRA	Salt Lake City	2002	Snowboarding	Snowboarding Women's Parallel Giant Slalom	Silver
Martin Ruinsk	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Martin Ruinsk	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Shelley-Marie Rudman	GBR	Torino	2006	Skeleton	Skeleton Women's Skeleton	Silver
Thomas Rudolph	GER	Albertville	1992	Luge	Luge Mixed (Men)'s Doubles	Silver
Beat Redi	SUI	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Luzius Redi	SUI	Sankt Moritz	1928	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Yvonne Regg (-Siorpaes)	SUI	Squaw Valley	1960	Alpine Skiing	Alpine Skiing Women's Giant Slalom	Gold
Angela Marie Ruggiero	USA	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Angela Marie Ruggiero	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Angela Marie Ruggiero	USA	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Angela Marie Ruggiero	USA	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Ute Rhrold (-Bhme, -Klawonn)	GDR	Sapporo	1972	Luge	Luge Women's Singles	Silver
Ute Rhrold (-Bhme, -Klawonn)	GDR	Innsbruck	1976	Luge	Luge Women's Singles	Silver
Enni Eriika  Rukajrvi	FIN	Sochi	2014	Snowboarding	Snowboarding Women's Slopestyle	Silver
Courtney Orville Rumbolt	GBR	Nagano	1998	Bobsleigh	Bobsleigh Men's Four	Bronze
Danijela Kristina Rundqvist	SWE	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Danijela Kristina Rundqvist	SWE	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Thomas Per Rundqvist	SWE	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Thomas Per Rundqvist	SWE	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Eeva Ruoppa (Saarainen-)	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Bronze
Arto Sakari Ruotanen	FIN	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Reijo Juhani Ruotsalainen	FIN	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Lyndon Rush	CAN	Vancouver	2010	Bobsleigh	Bobsleigh Men's Four	Bronze
Drius Rusnk	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Bernhard Russi	SUI	Sapporo	1972	Alpine Skiing	Alpine Skiing Men's Downhill	Gold
Bernhard Russi	SUI	Innsbruck	1976	Alpine Skiing	Alpine Skiing Men's Downhill	Silver
Arne Rustadstuen	NOR	Lake Placid	1932	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Birger Johannes Ruud	NOR	Lake Placid	1932	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Birger Johannes Ruud	NOR	Garmisch-Partenkirchen	1936	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Gold
Birger Johannes Ruud	NOR	Sankt Moritz	1948	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Sigmund Ruud	NOR	Sankt Moritz	1928	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Jarkko Samuli Ruutu	FIN	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Jarkko Samuli Ruutu	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Tuomo Iisakki Ruutu	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Tuomo Iisakki Ruutu	FIN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Vladimr Rika	TCH	Sarajevo	1984	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Vladimr Rika	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Robert Shane ""Bobby"" Ryan (Stevenson-)	USA	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Carter Rycroft	CAN	Salt Lake City	2002	Curling	Curling Men's Curling	Silver
Kjell Daniel Rydmark	SWE	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Johannes Rydzek	GER	Vancouver	2010	Nordic Combined	Nordic Combined Men's Team	Bronze
Johannes Rydzek	GER	Sochi	2014	Nordic Combined	Nordic Combined Men's Team	Silver
Tamara Nikolayevna Rylova	URS	Squaw Valley	1960	Speed Skating	Speed Skating Women's 1,000 metres	Bronze
